"name","democracyScore","pluralism","government","politicalParticipation","politicalCulture","civilLiberties","pop2020"
"North Korea","1.0800",0,"2.5000","1.6700","1.2500",0,"25778.8160"
"Syria","1.4300",0,0,"2.7800","4.3800",0,"17500.6580"
"DR Congo","1.4900","0.5000","0.7100","2.2200","3.1300","0.8800","89561.4030"
"Central African Republic","1.5200","2.2500",0,"1.1100","1.8800","2.3500","4829.7670"
"Chad","1.6100",0,0,"1.6700","3.7500","2.6500","16425.8640"
"Turkmenistan","1.7200",0,"0.7900","2.2200",5,"0.5900","6031.2000"
"Equatorial Guinea","1.9200",0,"0.4300","3.3300","4.3800","1.4700","1402.9850"
"Saudi Arabia","1.9300",0,"2.8600","2.2200","3.1300","1.4700","34813.8710"
"Tajikistan","1.9300","0.0800","0.7900","1.6700","6.2500","0.8800","9537.6450"
"Yemen","1.9500",0,0,"3.8900",5,"0.8800","29825.9640"
"Guinea-Bissau","1.9800","1.6700",0,"2.7800","3.1300","2.3500","1968.0010"
"Uzbekistan","2.0100","0.0800","1.8600","2.2200",5,"0.8800","33469.2030"
"Sudan","2.1500",0,"1.7900","2.7800",5,"1.1800","43849.2600"
"Libya","2.1900",1,"0.3600","1.6700",5,"2.9400","6871.2920"
"Burundi","2.3300",0,"0.4300","3.8900",5,"2.3500","11890.7840"
"Eritrea","2.3700",0,"2.1400","1.6700","6.8800","1.1800","3546.4210"
"Laos","2.3700","0.8300","2.8600","1.6700",5,"1.4700","7275.5600"
"Iran","2.4500",0,"3.2100","4.4400","3.1300","1.4700","83992.9490"
"Azerbaijan","2.6500","0.5000","2.1400","3.3300","3.7500","3.5300","10139.1770"
"Bahrain","2.7100","0.8300","3.2100","2.7800","4.3800","2.3500","1701.5750"
"United Arab Emirates","2.7600",0,"3.9300","2.2200",5,"2.6500","9890.4020"
"Djibouti","2.8700","0.4200","1.7900","3.8900","5.6300","2.6500",988
"Kazakhstan","2.9400","0.5000","2.1400","4.4400","4.3800","3.2400","18776.7070"
"Russia","2.9400","2.1700","1.7900",5,"2.5000","3.2400","145934.4620"
"Afghanistan","2.9700","2.9200","1.1400","4.4400","2.5000","3.8200","38928.3460"
"Cuba",3,"1.0800","3.5700","3.3300","4.3800","2.6500","11326.6160"
"Oman","3.0400",0,"3.9300","2.7800","4.3800","4.1200","5106.6260"
"Vietnam","3.0800",0,"3.2100","3.8900","5.6300","2.6500","97338.5790"
"Togo","3.1000","3.1700","0.7900","3.3300",5,"3.2400","8278.7240"
